id,damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
2937,0.3,3,11,16:30:00,2015,등산객실화,산27,용천,양평,옥천,경기,3,화요일,11,14:20:00,2015
2938,0.03,3,11,16:35:00,2015,기타(직접입력),산3,사상,모라, ,부산,3,화요일,11,14:31:00,2015
2939,0.2,4,11,14:00:00,2015,작업장실화,산156-1,하남,인제,상남,강원,4,수요일,11,10:35:00,2015
2940,0.5,5,11,16:30:00,2015,기타(직접입력),산8,낙평,영덕,지품,경북,5,목요일,11,14:06:00,2015
2941,0.03,9,12,17:11:00,2015,기타(직접입력),산5-1,동,신촌, ,대전,9,수요일,12,16:13:00,2015
2942,0.03,12,12,15:10:00,2015,쓰레기소각,산11-4,갈풍,횡성,횡성,강원,12,토요일,12,13:32:00,2015
2943,0.1,16,12,16:00:00,2015,등산객실화,산35-4,인구,양양,현남,강원,16,수요일,12,13:40:00,2015
2944,0.01,19,12,21:00:00,2015,기타(직접입력),산3,어론,인제,남,강원,19,토요일,12,20:04:00,2015
2945,0.01,22,12,14:30:00,2015,담뱃불실화,291-1(임),강릉,학, ,강원,22,화요일,12,13:54:00,2015
2946,0.8,28,12,17:30:00,2015,기타(직접입력),산30임,선암,문경,호계,경북,28,월요일,12,15:10:00,2015
2947,0.2,29,12,0:00:00,2015,주택화재비화,산22,누호,고성,마암,경남,28,월요일,12,22:05:00,2015
2948,0.1,29,12,16:30:00,2015,작업장실화,산51,대현,봉화,석포,경북,29,화요일,12,14:00:00,2015
2949,0.5,3,1,16:20:00,2016,기타(직접입력),산27,상청,영양,청기,경북,3,일요일,1,14:03:00,2016
2950,0.1,5,1,17:30:00,2016,무속행위,산67-1,금토,성남,수성,경기,5,화요일,1,14:31:00,2016
2951,0.06,6,1,16:30:00,2016,담뱃불실화,산73,거진,고성,거진,강원,6,수요일,1,15:13:00,2016
2952,0.3,6,1,21:20:00,2016,주택화재비화,산51-1,광회,울진,금강송,경북,6,수요일,1,17:48:00,2016
2953,0.2,8,1,14:15:00,2016,쓰레기소각,산93-1,금암,칠곡,동명,경북,8,금요일,1,13:20:00,2016
2954,0.3,9,1,16:40:00,2016,쓰레기소각,산48,주곡,영양,일월,경북,9,토요일,1,14:48:00,2016
2955,0.2,10,1,17:53:00,2016,쓰레기소각,산95-2,구암,남양주,화도,경기,10,일요일,1,15:34:00,2016
2956,0.03,11,1,12:50:00,2016,쓰레기소각,산92,광주,퇴촌, ,경기,11,월요일,1,11:00:00,2016
2957,0.33,12,1,3:20:00,2016,농산폐기물소각,산52-2,이천,증포, ,경기,12,화요일,1,2:50:00,2016
2958,0.1,12,1,13:03:00,2016,논밭두렁소각,산90,삼평,울주,온산,울산,12,화요일,1,12:35:00,2016
2959,0.05,12,1,15:20:00,2016,쓰레기소각,산180,가오작,양구,남,강원,12,화요일,1,14:28:00,2016
2960,0.03,13,1,12:05:00,2016,논밭두렁소각,산28-6,매호,원주,호저,강원,13,수요일,1,11:25:00,2016
2961,0.06,15,1,5:00:00,2016,등산객실화,산82,도수,광주,퇴촌,경기,15,금요일,1,1:55:00,2016
2962,0.5,17,1,8:00:00,2016,등산객실화,산27,삼방,파주,법원,경기,16,토요일,1,21:30:00,2016
2963,0.33,17,1,6:00:00,2016,기타(직접입력),산236,인산,강화,양도,인천,16,토요일,1,22:45:00,2016
2964,0.01,17,1,12:25:00,2016,농산폐기물소각,산35-3,마애,안동,풍산,경북,17,일요일,1,11:18:00,2016
2965,0.01,2,6,15:30:00,2017,낙뢰,산89-1,전곡,울진,금강송,경북,2,금요일,6,13:10:00,2017
2966,0.06,2,6,16:00:00,2017,기타(직접입력),산202,북동,강릉,옥계,강원,2,금요일,6,14:50:00,2017
2967,0.01,2,6,17:20:00,2017,기타(직접입력),산13,신기,순천,낙안,전남,2,금요일,6,15:10:00,2017
2968,0.01,2,6,19:30:00,2017,기타(직접입력),산309,중산,구례,문척,전남,2,금요일,6,16:21:00,2017
2969,0.3,3,6,2:30:00,2017,낙뢰,산23-1,대흥,울진,울진,경북,2,금요일,6,19:00:00,2017
2970,0.2,3,6,17:00:00,2017,기타(직접입력),산53,상견,춘천,동,강원,3,토요일,6,5:30:00,2017
2971,0.15,3,6,14:50:00,2017,등산객실화,산39,양주,산북, ,경기,3,토요일,6,11:24:00,2017
2972,0.03,3,6,12:50:00,2017,농산폐기물소각,산65,주하,안동,와룡,경북,3,토요일,6,11:44:00,2017
2973,0.03,3,6,15:30:00,2017,기타(직접입력),산65-1,계양,다남, ,인천,3,토요일,6,12:40:00,2017
2974,0.03,3,6,16:30:00,2017,기타(직접입력),산98,오록,봉화,물야,경북,3,토요일,6,14:00:00,2017
2975,0.3,4,6,16:00:00,2017,등산객실화,산1,고사,인제,인제,강원,4,일요일,6,10:50:00,2017
2976,0.1,4,6,13:45:00,2017,등산객실화,산47,용담,화천,사내,강원,4,일요일,6,11:58:00,2017
2977,2,5,6,8:15:00,2017,쓰레기소각,산76,도흥,성주,선남,경북,4,일요일,6,12:07:00,2017
2978,0.01,4,6,14:08:00,2017,담뱃불실화,산133-1,잠곡,철원,근남,강원,4,일요일,6,12:20:00,2017
2979,0.01,4,6,16:00:00,2017,등산객실화,784-12,교로,당진,석문,충남,4,일요일,6,14:50:00,2017
2980,0.02,4,6,19:20:00,2017,기타(직접입력),산58-5,관악,신림, ,서울,4,일요일,6,17:32:00,2017
2981,0.5,5,6,7:39:00,2017,기타(직접입력),산274-60,소야,옹진,덕적,인천,4,일요일,6,21:50:00,2017
2982,0.3,5,6,11:28:00,2017,기타(직접입력),산48,북지,영주,부석,경북,4,일요일,6,23:37:00,2017
2983,0.02,5,6,11:00:00,2017,기타(직접입력),산1-1,월포,진안,상전,전북,5,월요일,6,7:50:00,2017
2984,0.02,5,6,17:00:00,2017,등산객실화,산10-1,석수,안양,만안,경기,5,월요일,6,10:35:00,2017
